number,value,datetime_start,datetime_complete,duration,params_drop_correlated,params_feature_selection,params_l2_regularization,params_learning_rate,params_max_depth,params_max_leaf_nodes,params_min_samples_leaf,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,54.18181833032281,2022-10-24 22:25:50.665845,2022-10-24 22:26:55.353263,0 days 00:01:04.687418,yes,FeatureImportance_ET,0.4602598140662353,0.2269400239799676,7,27,58,20.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.4602598140662353,
                                                                                 learning_rate=0.2269400239799676,
                                                                                 max_depth=7,
                                                                                 max_leaf_nodes=27,
                                                                                 min_samples_leaf=58,
                                                                                 random_state=120),
                                             number=20))])",yes,FeatureImportance_ET,20.0,retained,no,13.220211342549339,4.63401335346979,46.61343382001066,14.220179478680771,4.65517394462886,54.18181833032281,COMPLETE
1,54.76073259594464,2022-10-24 22:26:55.531181,2022-10-24 22:27:14.859827,0 days 00:00:19.328646,yes,Lasso,0.9945062052393303,0.2738204573358964,10,19,68,7.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.9945062052393303,
                                                                                 learning_rate=0.2738204573358964,
                                                                                 max_depth=10,
                                                                                 max_leaf_nodes=19,
                                                                                 min_samples_leaf=68,
                                                                                 random_state=120),
                                             number=7))])",yes,Lasso,7.0,retained,no,13.554333480301674,4.915884132788989,47.80879704225982,14.552844180959328,4.975038216960052,54.76073259594464,COMPLETE
2,54.23513901569021,2022-10-24 22:27:15.033818,2022-10-24 22:27:45.063232,0 days 00:00:30.029414,no,Lasso,0.15895731486920284,0.16255590935040715,2,36,39,28.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.15895731486920284,
                                                                                 learning_rate=0.16255590935040715,
                                                                                 max_depth=2,
                                                                                 max_leaf_nodes=36,
                                                                                 min_samples_leaf=39,
                                                                                 random_state=120),
                                             number=28))])",no,Lasso,28.0,retained,no,15.000298476003193,6.009553878535567,50.105965932460755,15.294299043643798,6.051084066245651,54.23513901569021,COMPLETE
3,54.463884196363004,2022-10-24 22:27:45.256854,2022-10-24 22:28:05.874497,0 days 00:00:20.617643,yes,MutualInformation,0.2646354234772149,0.646571763682431,5,7,41,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.2646354234772149,
                                                                                 learning_rate=0.646571763682431,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=7,
                                                                                 min_samples_leaf=41,
                                                                                 random_state=120),
                                             number=14))])",yes,MutualInformation,14.0,retained,no,15.250204687352026,6.32827347250445,47.080261830672406,16.04981766208087,6.332833577384712,54.463884196363004,COMPLETE
4,55.07092785426412,2022-10-24 22:28:06.057286,2022-10-24 22:28:27.069275,0 days 00:00:21.011989,yes,Lasso,0.31405125171085635,0.03836552457052335,4,43,75,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.31405125171085635,
                                                                                 learning_rate=0.03836552457052335,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=43,
                                                                                 min_samples_leaf=75,
                                                                                 random_state=120),
                                             number=19))])",yes,Lasso,19.0,retained,no,14.904037515932858,5.44315778550272,51.8769273325928,15.133317863998853,5.451694763368107,55.07092785426412,COMPLETE
5,54.71190272401892,2022-10-24 22:28:27.262708,2022-10-24 22:28:59.988657,0 days 00:00:32.725949,,FeatureWiz,0.6187123060496891,0.07821242813336737,4,13,86,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.6187123060496891,
                                                                                 learning_rate=0.07821242813336737,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=13,
                                                                                 min_samples_leaf=86,
                                                                                 random_state=120)))])",no,FeatureWiz,,retained,no,14.252753391092293,5.301228193780916,51.05626165131207,14.621672686488344,5.317964455672612,54.71190272401892,COMPLETE
6,76.61581932576458,2022-10-24 22:29:00.169730,2022-10-24 22:29:20.175702,0 days 00:00:20.005972,yes,Lasso,0.8375048448341186,0.014860952047213495,7,15,80,24.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8375048448341186,
                                                                                 learning_rate=0.014860952047213495,
                                                                                 max_depth=7,
                                                                                 max_leaf_nodes=15,
                                                                                 min_samples_leaf=80,
                                                                                 random_state=120),
                                             number=24))])",yes,Lasso,24.0,retained,no,34.26119717571206,19.48332282995638,75.28408885268834,34.380967425491114,19.49121097813638,76.61581932576458,COMPLETE
7,53.4021617609595,2022-10-24 22:29:20.369997,2022-10-24 22:30:29.205781,0 days 00:01:08.835784,no,FeatureImportance_ET,0.8005072948039265,0.09509952660478978,5,35,26,15.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8005072948039265,
                                                                                 learning_rate=0.09509952660478978,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=35,
                                                                                 min_samples_leaf=26,
                                                                                 random_state=120),
                                             number=15))])",no,FeatureImportance_ET,15.0,retained,no,13.161243496274247,4.753865261715912,43.697328991136,14.183390971253571,4.806808033476329,53.4021617609595,COMPLETE
8,57.61568364626849,2022-10-24 22:30:29.396032,2022-10-24 22:30:50.645129,0 days 00:00:21.249097,yes,MutualInformation,0.4297881402842221,0.8165076699416334,6,8,99,27.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.4297881402842221,
                                                                                 learning_rate=0.8165076699416334,
                                                                                 max_depth=6,
                                                                                 max_leaf_nodes=8,
                                                                                 min_samples_leaf=99,
                                                                                 random_state=120),
                                             number=27))])",yes,MutualInformation,27.0,retained,no,15.096593380597168,5.367026604426575,50.16008159306432,16.15703596331566,5.4598857725397325,57.61568364626849,COMPLETE
9,53.71258357934909,2022-10-24 22:30:50.831435,2022-10-24 22:31:12.779944,0 days 00:00:21.948509,yes,MutualInformation,0.797176196263629,0.22463835593192705,5,14,34,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.797176196263629,
                                                                                 learning_rate=0.22463835593192705,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=14,
                                                                                 min_samples_leaf=34,
                                                                                 random_state=120),
                                             number=19))])",yes,MutualInformation,19.0,retained,no,13.616207034362388,5.063911815252351,44.763179765850055,14.556515153359646,5.109633954177908,53.71258357934909,COMPLETE
10,70.58051929450556,2022-10-24 22:31:12.973977,2022-10-24 22:32:20.356513,0 days 00:01:07.382536,no,FeatureImportance_ET,0.8820161864777075,0.01673643874799811,4,24,39,6.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8820161864777075,
                                                                                 learning_rate=0.01673643874799811,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=24,
                                                                                 min_samples_leaf=39,
                                                                                 random_state=120),
                                             number=6))])",no,FeatureImportance_ET,6.0,retained,no,29.912418811030776,16.196508271712016,69.24873445363372,30.03307092239139,16.1641696834618,70.58051929450556,COMPLETE
11,56.276502808800196,2022-10-24 22:32:20.545873,2022-10-24 22:32:55.101813,0 days 00:00:34.555940,no,MutualInformation,0.9819104893850864,0.25818689033593945,5,25,38,1.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.9819104893850864,
                                                                                 learning_rate=0.25818689033593945,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=25,
                                                                                 min_samples_leaf=38,
                                                                                 random_state=120),
                                             number=1))])",no,MutualInformation,1.0,retained,no,15.489073516995427,6.056791918058734,54.674316097019414,15.636847720173634,6.122198033955006,56.276502808800196,COMPLETE
12,54.486741771298085,2022-10-24 22:32:55.301508,2022-10-24 22:33:30.005197,0 days 00:00:34.703689,no,MutualInformation,0.6988932870069221,0.18114935519646466,3,7,23,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.6988932870069221,
                                                                                 learning_rate=0.18114935519646466,
                                                                                 max_depth=3,
                                                                                 max_leaf_nodes=7,
                                                                                 min_samples_leaf=23,
                                                                                 random_state=120),
                                             number=14))])",no,MutualInformation,14.0,retained,no,14.347104159233188,5.437126734686632,48.69323095245363,14.916208856783982,5.522963655628936,54.486741771298085,COMPLETE
13,52.669262270770396,2022-10-24 22:33:30.183890,2022-10-24 22:34:35.935590,0 days 00:01:05.751700,no,FeatureImportance_ET,0.7053706737458695,0.09253085147706015,7,20,29,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.7053706737458695,
                                                                                 learning_rate=0.09253085147706015,
                                                                                 max_depth=7,
                                                                                 max_leaf_nodes=20,
                                                                                 min_samples_leaf=29,
                                                                                 random_state=120),
                                             number=14))])",no,FeatureImportance_ET,14.0,retained,no,12.977084864783935,4.890178749342547,42.66043102283827,14.080994260327067,4.938952974972037,52.669262270770396,COMPLETE
14,53.13176649263996,2022-10-24 22:34:36.129238,2022-10-24 22:35:07.131720,0 days 00:00:31.002482,no,Lasso,0.6824561884624305,0.06432231061893308,4,30,22,11.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.6824561884624305,
                                                                                 learning_rate=0.06432231061893308,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=30,
                                                                                 min_samples_leaf=22,
                                                                                 random_state=120),
                                             number=11))])",no,Lasso,11.0,retained,no,13.810647646999081,5.19908640189837,45.35212418351611,14.531483924340627,5.246842801031285,53.13176649263996,COMPLETE
15,53.143742148279046,2022-10-24 22:35:07.322589,2022-10-24 22:35:38.857944,0 days 00:00:31.535355,no,Lasso,0.8171158958744299,0.048506291816323814,9,27,20,10.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8171158958744299,
                                                                                 learning_rate=0.048506291816323814,
                                                                                 max_depth=9,
                                                                                 max_leaf_nodes=27,
                                                                                 random_state=120),
                                             number=10))])",no,Lasso,10.0,retained,no,13.197367515694859,5.109640116236367,41.46327085280088,14.539762533188117,5.11897735765413,53.143742148279046,COMPLETE
16,55.02305380658955,2022-10-24 22:35:39.043845,2022-10-24 22:36:08.945868,0 days 00:00:29.902023,no,Lasso,0.578604838609828,0.05607407387675861,3,43,22,10.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.578604838609828,
                                                                                 learning_rate=0.05607407387675861,
                                                                                 max_depth=3,
                                                                                 max_leaf_nodes=43,
                                                                                 min_samples_leaf=22,
                                                                                 random_state=120),
                                             number=10))])",no,Lasso,10.0,retained,no,14.94813277144688,5.858556707664714,50.72980485456287,15.268214781114622,5.879075686304325,55.02305380658955,COMPLETE
17,53.99447367742393,2022-10-24 22:36:09.153194,2022-10-24 22:36:45.400944,0 days 00:00:36.247750,,FeatureWiz,0.6456344456990927,0.0864450021607876,8,14,33,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.6456344456990927,
                                                                                 learning_rate=0.0864450021607876,
                                                                                 max_depth=8,
                                                                                 max_leaf_nodes=14,
                                                                                 min_samples_leaf=33,
                                                                                 random_state=120)))])",no,FeatureWiz,,retained,no,13.658771204397661,5.371076243670167,45.936661209631865,14.567332624605768,5.409270799109087,53.99447367742393,COMPLETE
18,55.3563456462598,2022-10-24 22:36:45.595631,2022-10-24 22:37:50.397191,0 days 00:01:04.801560,no,FeatureImportance_ET,0.7937292391297673,0.21778674232912826,10,15,21,10.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.7937292391297673,
                                                                                 learning_rate=0.21778674232912826,
                                                                                 max_depth=10,
                                                                                 max_leaf_nodes=15,
                                                                                 min_samples_leaf=21,
                                                                                 random_state=120),
                                             number=10))])",no,FeatureImportance_ET,10.0,retained,no,13.850011840985673,5.595824293566015,44.9240327908158,14.836321052058723,5.673027495556133,55.3563456462598,COMPLETE
19,60.02524045157096,2022-10-24 22:37:50.589565,2022-10-24 22:38:56.775179,0 days 00:01:06.185614,no,FeatureImportance_ET,0.7303526879813952,0.02350119143964886,9,10,40,3.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.7303526879813952,
                                                                                 learning_rate=0.02350119143964886,
                                                                                 max_depth=9,
                                                                                 max_leaf_nodes=10,
                                                                                 min_samples_leaf=40,
                                                                                 random_state=120),
                                             number=3))])",no,FeatureImportance_ET,3.0,retained,no,21.04682560887085,8.882345176643744,58.32536586200018,21.16957151298635,8.870692916379229,60.02524045157096,COMPLETE
