number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_device_type,params_drop_correlated,params_drop_rate,params_feature_selection,params_gpu_use_dp,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_number_features,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,79.09374936004531,2022-10-24 18:58:29.834506,2022-10-24 18:58:47.737704,0 days 00:00:17.903198,dart,gpu,yes,0.8675657456630034,ANOVA,False,0.10032809129075977,63,8,50,0.13948439945981203,2558,3.0,0.4069950417348816,0.6124638571417054,0.9040174624856749,6,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             model=LGBMRegressor(boosting_type='dart',
                                                                 device_type='gpu',
                                                                 drop_rate=0.8675657456630034,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.10032809129075977,
                                                                 max_bin=63,
                                                                 max_depth=8,
                                                                 min_child_samples=50,
                                                                 min_split_gain=0.13948439945981203,
                                                                 num_leaves=2558,
                                                                 random_state=120,
                                                                 reg_alpha=0.4069950417348816,
                                                                 reg_lambda=0.6124638571417054,
                                                                 subsample=0.9040174624856749,
                                                                 subsample_freq=6),
                                             number=3))])",yes,ANOVA,3.0,retained,no,29.588644453432977,12.786565680776105,77.64670261253,29.81525382433786,12.850243543612995,79.09374936004531,COMPLETE
1,78.97214809809888,2022-10-24 18:58:47.919803,2022-10-24 18:59:17.435867,0 days 00:00:29.516064,gbdt,gpu,no,,Lasso,False,0.016136572419137088,63,5,56,0.2217714435824835,2075,28.0,0.1584490554179939,0.5128972744079245,0.7607537160280969,8,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.016136572419137088,
                                                                 max_bin=63,
                                                                 max_depth=5,
                                                                 min_child_samples=56,
                                                                 min_split_gain=0.2217714435824835,
                                                                 num_leaves=2075,
                                                                 random_state=120,
                                                                 reg_alpha=0.1584490554179939,
                                                                 reg_lambda=0.5128972744079245,
                                                                 subsample=0.7607537160280969,
                                                                 subsample_freq=8),
                                             number=28))])",no,Lasso,28.0,retained,no,30.580330506377734,16.820432791338987,76.36230854819638,30.893848085734305,16.82715941043553,78.97214809809888,COMPLETE
2,67.4070065831521,2022-10-24 18:59:17.622773,2022-10-24 18:59:27.250825,0 days 00:00:09.628052,gbdt,gpu,yes,,ANOVA,False,0.21739534049949805,63,4,30,5.1472006576256355,1395,25.0,2.345434192549536,17.96781724985763,0.5207244625040303,9,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='ANOVA',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.21739534049949805,
                                                                 max_bin=63,
                                                                 max_depth=4,
                                                                 min_child_samples=30,
                                                                 min_split_gain=5.1472006576256355,
                                                                 num_leaves=1395,
                                                                 random_state=120,
                                                                 reg_alpha=2.345434192549536,
                                                                 reg_lambda=17.96781724985763,
                                                                 subsample=0.5207244625040303,
                                                                 subsample_freq=9),
                                             number=25))])",yes,ANOVA,25.0,retained,no,16.55338962807408,5.360343938697636,56.379823884262066,18.013727259221614,5.358661757120511,67.4070065831521,COMPLETE
3,100.32059873270215,2022-10-24 18:59:27.441369,2022-10-24 18:59:45.698388,0 days 00:00:18.257019,gbdt,gpu,yes,,Lasso,False,0.0108017062304733,63,5,72,6.287198581566359,2606,9.0,0.5241681182073382,0.6086274510535956,0.7588464393866539,5,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.0108017062304733,
                                                                 max_bin=63,
                                                                 max_depth=5,
                                                                 min_child_samples=72,
                                                                 min_split_gain=6.287198581566359,
                                                                 num_leaves=2606,
                                                                 random_state=120,
                                                                 reg_alpha=0.5241681182073382,
                                                                 reg_lambda=0.6086274510535956,
                                                                 subsample=0.7588464393866539,
                                                                 subsample_freq=5),
                                             number=9))])",yes,Lasso,9.0,retained,no,46.164124598416095,29.222284747775447,99.05846927785278,46.35177362086239,29.148998337821965,100.32059873270215,COMPLETE
4,65.21662004755602,2022-10-24 18:59:45.870878,2022-10-24 19:00:17.158416,0 days 00:00:31.287538,gbdt,gpu,,,FeatureWiz,False,0.0740904037335583,63,10,97,5.265173034428641,3432,,5.518432395087113,0.6285118526609234,0.578606789412157,1,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='FeatureWiz',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.0740904037335583,
                                                                 max_bin=63,
                                                                 max_depth=10,
                                                                 min_child_samples=97,
                                                                 min_split_gain=5.265173034428641,
                                                                 num_leaves=3432,
                                                                 random_state=120,
                                                                 reg_alpha=5.518432395087113,
                                                                 reg_lambda=0.6285118526609234,
                                                                 subsample=0.578606789412157,
                                                                 subsample_freq=1)))])",no,FeatureWiz,,retained,no,16.257865072503204,4.313781338124232,62.72039592588359,16.90017520590221,4.469545354471939,65.21662004755602,COMPLETE
5,65.6071245195232,2022-10-24 19:00:17.335068,2022-10-24 19:00:39.382226,0 days 00:00:22.047158,gbdt,gpu,yes,,Lasso,False,0.22231825381535705,63,12,72,1.4040020274046248,775,5.0,73.78029766006897,0.24994350142787178,0.8787834386053498,5,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.22231825381535705,
                                                                 max_bin=63,
                                                                 max_depth=12,
                                                                 min_child_samples=72,
                                                                 min_split_gain=1.4040020274046248,
                                                                 num_leaves=775,
                                                                 random_state=120,
                                                                 reg_alpha=73.78029766006897,
                                                                 reg_lambda=0.24994350142787178,
                                                                 subsample=0.8787834386053498,
                                                                 subsample_freq=5),
                                             number=5))])",yes,Lasso,5.0,retained,no,15.369346015877241,4.252781378056005,57.13477341465495,17.32938304679767,4.476439066732934,65.6071245195232,COMPLETE
6,88.41477417322399,2022-10-24 19:00:39.550804,2022-10-24 19:01:18.936846,0 days 00:00:39.386042,gbdt,gpu,yes,,FeatureImportance_ET,False,0.014679436205005452,63,11,28,4.19135278472528,2771,5.0,3.468122400070812,29.47731977435529,0.8688482910637126,4,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='FeatureImportance_ET',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.014679436205005452,
                                                                 max_bin=63,
                                                                 max_depth=11,
                                                                 min_child_samples=28,
                                                                 min_split_gain=4.19135278472528,
                                                                 num_leaves=2771,
                                                                 random_state=120,
                                                                 reg_alpha=3.468122400070812,
                                                                 reg_lambda=29.47731977435529,
                                                                 subsample=0.8688482910637126,
                                                                 subsample_freq=4),
                                             number=5))])",yes,FeatureImportance_ET,5.0,retained,no,35.511202013423365,19.7762788974179,87.38328475585492,35.72886763700738,19.773368106291944,88.41477417322399,COMPLETE
7,65.50226095772946,2022-10-24 19:01:19.135107,2022-10-24 19:01:35.332728,0 days 00:00:16.197621,gbdt,gpu,yes,,ANOVA,False,0.04357219444792708,63,10,47,0.7184346864058596,93,16.0,0.3880438929305367,0.5686304987046567,0.7273005500777981,3,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='ANOVA',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.04357219444792708,
                                                                 max_bin=63,
                                                                 max_depth=10,
                                                                 min_child_samples=47,
                                                                 min_split_gain=0.7184346864058596,
                                                                 num_leaves=93,
                                                                 random_state=120,
                                                                 reg_alpha=0.3880438929305367,
                                                                 reg_lambda=0.5686304987046567,
                                                                 subsample=0.7273005500777981,
                                                                 subsample_freq=3),
                                             number=16))])",yes,ANOVA,16.0,retained,no,15.410488745519425,3.889192982687632,58.83385730890424,16.70698312802067,4.063614997521241,65.50226095772946,COMPLETE
8,135.81873260552604,2022-10-24 19:01:35.494431,2022-10-24 19:01:44.842612,0 days 00:00:09.348181,dart,gpu,no,0.2191913341839089,ANOVA,False,0.036629469022869385,63,3,83,0.6564509714407719,4045,2.0,0.24682536456799037,78.05677556523854,0.9060897716742572,9,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             model=LGBMRegressor(boosting_type='dart',
                                                                 device_type='gpu',
                                                                 drop_rate=0.2191913341839089,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.036629469022869385,
                                                                 max_bin=63,
                                                                 max_depth=3,
                                                                 min_child_samples=83,
                                                                 min_split_gain=0.6564509714407719,
                                                                 num_leaves=4045,
                                                                 random_state=120,
                                                                 reg_alpha=0.24682536456799037,
                                                                 reg_lambda=78.05677556523854,
                                                                 subsample=0.9060897716742572,
                                                                 subsample_freq=9),
                                             number=2))])",no,ANOVA,2.0,retained,no,58.16500612239965,24.19343804764705,135.50622625588426,58.23902516942869,24.205110765717194,135.81873260552604,COMPLETE
